case,StartTime,CompleteTime,concept:name,org:resource,responsible
14,2022/1/27 8:20,2022/1/27 10:31,Create SW anomaly,res3-000001,1
14,2022/1/27 10:31,2022/1/27 12:12,Resolve SW anomaly,res4-000001,1
14,2022/1/27 12:12,2022/1/27 13:08,Require upgrade,res5-000001,1
14,2022/1/27 13:08,2022/1/27 15:07,Take in charge ticket,res6-000001,1
14,2022/1/27 15:07,2022/1/27 17:04,Resolve ticket,res9-000001,1
14,2022/1/27 17:04,2022/1/27 17:13,Closed,res10-000001,1
15,2022/1/28 8:00,2022/1/28 9:43,Insert ticket,res1-000001,1
15,2022/1/28 9:43,2022/1/28 12:17,Assign seriousness,res2-000001,1
15,2022/1/28 12:17,2022/1/28 14:46,Create SW anomaly,res3-000001,1
15,2022/1/28 14:46,2022/1/28 15:54,Resolve SW anomaly,res4-000001,1
15,2022/1/28 15:54,2022/1/28 17:33,Require upgrade,res5-000001,1
15,2022/1/28 17:33,2022/1/31 11:31,Take in charge ticket,res6-000001,1
15,2022/1/31 11:31,2022/1/31 11:36,Resolve ticket,res9-000001,1
15,2022/1/31 11:36,2022/1/31 12:51,Closed,res10-000001,1
16,2022/1/31 17:29,2022/2/1 8:56,Insert ticket,res1-000001,1
16,2022/2/1 8:56,2022/2/1 11:27,Assign seriousness,res2-000001,1
16,2022/2/1 11:27,2022/2/1 11:54,Create SW anomaly,res3-000001,1
16,2022/2/1 11:54,2022/2/1 14:01,Resolve SW anomaly,res4-000001,1
16,2022/2/1 14:01,2022/2/1 15:31,Require upgrade,res5-000001,1
16,2022/2/1 15:31,2022/2/1 15:43,Take in charge ticket,res6-000001,1
16,2022/2/1 15:43,2022/2/1 17:07,Resolve ticket,res9-000001,1
16,2022/2/1 17:07,2022/2/1 17:47,Closed,res10-000001,1
17,2022/2/2 8:00,2022/2/2 10:27,Insert ticket,res1-000001,1
17,2022/2/2 10:27,2022/2/2 11:57,Assign seriousness,res2-000001,1
17,2022/2/2 11:57,2022/2/2 13:48,Create SW anomaly,res3-000001,1
17,2022/2/2 13:48,2022/2/2 14:29,Resolve SW anomaly,res4-000001,1
17,2022/2/2 14:29,2022/2/2 15:07,Require upgrade,res5-000001,1
17,2022/2/2 15:07,2022/2/2 16:33,Take in charge ticket,res6-000001,1
17,2022/2/2 16:33,2022/2/3 8:21,Resolve ticket,res9-000001,1
17,2022/2/3 8:21,2022/2/3 9:40,Closed,res10-000001,1
18,2022/2/3 8:00,2022/2/3 8:27,Insert ticket,res1-000001,1
18,2022/2/3 8:27,2022/2/3 11:15,Assign seriousness,res2-000001,1
18,2022/2/3 11:15,2022/2/3 14:45,Create SW anomaly,res3-000001,1
18,2022/2/3 14:45,2022/2/3 15:53,Resolve SW anomaly,res4-000001,1
18,2022/2/3 15:53,2022/2/3 16:50,Require upgrade,res5-000001,1
18,2022/2/3 16:50,2022/2/4 10:04,Take in charge ticket,res6-000001,1
18,2022/2/4 10:04,2022/2/4 11:23,Resolve ticket,res9-000001,1
18,2022/2/4 11:23,2022/2/4 13:31,Closed,res10-000001,1
19,2022/2/4 8:00,2022/2/4 11:17,Assign seriousness,res2-000001,1
19,2022/2/4 11:17,2022/2/4 12:52,Create SW anomaly,res3-000001,1
19,2022/2/4 12:52,2022/2/4 15:00,Resolve SW anomaly,res4-000001,1
19,2022/2/4 15:00,2022/2/4 17:37,Require upgrade,res5-000001,1
19,2022/2/4 17:37,2022/2/7 9:21,Take in charge ticket,res6-000001,1
19,2022/2/7 9:21,2022/2/7 12:33,Resolve ticket,res9-000001,1
19,2022/2/7 12:33,2022/2/7 13:17,Closed,res10-000001,1
20,2022/2/7 17:36,2022/2/8 9:49,Insert ticket,res1-000001,1
20,2022/2/8 9:49,2022/2/8 11:58,Assign seriousness,res2-000001,1
20,2022/2/8 11:58,2022/2/8 12:40,Create SW anomaly,res3-000001,1
20,2022/2/8 12:40,2022/2/8 14:53,Resolve SW anomaly,res4-000001,1
20,2022/2/8 14:53,2022/2/8 16:20,Require upgrade,res5-000001,1
20,2022/2/8 16:20,2022/2/8 17:53,Take in charge ticket,res6-000001,1
20,2022/2/8 17:53,2022/2/9 10:58,Resolve ticket,res9-000001,1
20,2022/2/9 10:58,2022/2/9 11:52,Closed,res10-000001,1
21,2022/2/9 8:00,2022/2/9 11:28,Insert ticket,res1-000001,1
21,2022/2/9 11:28,2022/2/9 13:09,Assign seriousness,res2-000001,1
21,2022/2/9 13:09,2022/2/9 13:53,Create SW anomaly,res3-000001,1
21,2022/2/9 13:53,2022/2/9 15:20,Require upgrade,res5-000001,1
21,2022/2/9 15:20,2022/2/10 8:01,Take in charge ticket,res6-000001,1
21,2022/2/10 8:01,2022/2/10 10:45,Resolve ticket,res9-000001,1
21,2022/2/10 10:45,2022/2/10 12:28,Closed,res10-000001,1
22,2022/2/10 8:00,2022/2/10 9:29,Insert ticket,res1-000001,1
22,2022/2/10 9:29,2022/2/10 10:50,Assign seriousness,res2-000001,1
22,2022/2/10 10:50,2022/2/10 11:59,Create SW anomaly,res3-000001,1
22,2022/2/10 11:59,2022/2/10 14:44,Resolve SW anomaly,res4-000001,1
22,2022/2/10 14:44,2022/2/10 16:35,Require upgrade,res5-000001,1
22,2022/2/10 16:35,2022/2/11 8:44,Take in charge ticket,res6-000001,1
22,2022/2/11 8:44,2022/2/11 10:55,Resolve ticket,res9-000001,1
22,2022/2/11 10:55,2022/2/11 14:32,Closed,res10-000001,1
23,2022/2/11 8:00,2022/2/11 11:06,Insert ticket,res1-000001,1
23,2022/2/11 11:06,2022/2/11 12:48,Assign seriousness,res2-000001,1
23,2022/2/11 12:48,2022/2/11 15:31,Create SW anomaly,res3-000001,1
23,2022/2/11 15:31,2022/2/14 8:15,Resolve SW anomaly,res4-000001,1
23,2022/2/14 8:15,2022/2/14 9:04,Require upgrade,res5-000001,1
23,2022/2/14 9:04,2022/2/14 10:40,Take in charge ticket,res6-000001,1
23,2022/2/14 10:40,2022/2/14 12:24,Resolve ticket,res9-000001,1
23,2022/2/14 12:24,2022/2/14 16:10,Closed,res10-000001,1
24,2022/2/14 17:41,2022/2/15 10:00,Insert ticket,res1-000001,1
24,2022/2/15 10:00,2022/2/15 11:15,Assign seriousness,res2-000001,1
24,2022/2/15 11:15,2022/2/15 13:06,Create SW anomaly,res3-000001,1
24,2022/2/15 13:06,2022/2/15 14:23,Resolve SW anomaly,res4-000001,1
24,2022/2/15 14:23,2022/2/15 16:20,Require upgrade,res5-000001,1
24,2022/2/15 16:20,2022/2/15 17:55,Take in charge ticket,res6-000001,1
24,2022/2/15 17:55,2022/2/16 10:39,Resolve ticket,res9-000001,1
24,2022/2/16 10:39,2022/2/16 11:24,Closed,res10-000001,1
25,2022/2/16 8:00,2022/2/16 9:59,Insert ticket,res1-000001,1
25,2022/2/16 9:59,2022/2/16 13:38,Assign seriousness,res2-000001,1
25,2022/2/16 13:38,2022/2/16 13:54,Require upgrade,res5-000001,1
25,2022/2/16 13:54,2022/2/16 16:28,Take in charge ticket,res6-000001,1
25,2022/2/16 16:28,2022/2/17 9:56,Resolve ticket,res9-000001,1
25,2022/2/17 9:56,2022/2/17 11:22,Closed,res10-000001,1
26,2022/2/17 8:00,2022/2/17 9:33,Insert ticket,res1-000001,1
26,2022/2/17 9:33,2022/2/17 11:52,Assign seriousness,res2-000001,1
26,2022/2/17 11:52,2022/2/17 12:04,Create SW anomaly,res3-000001,1
26,2022/2/17 12:04,2022/2/17 14:05,Resolve SW anomaly,res4-000001,1
26,2022/2/17 14:05,2022/2/17 14:36,Require upgrade,res5-000001,1
26,2022/2/17 14:36,2022/2/17 16:54,Take in charge ticket,res6-000001,1
26,2022/2/17 16:54,2022/2/17 17:09,Resolve ticket,res9-000001,1
26,2022/2/17 17:09,2022/2/18 9:38,Closed,res10-000001,1
27,2022/2/18 8:00,2022/2/18 10:07,Insert ticket,res1-000001,1
27,2022/2/18 10:07,2022/2/18 12:30,Assign seriousness,res2-000001,1
27,2022/2/18 12:30,2022/2/18 12:58,Create SW anomaly,res3-000001,1
27,2022/2/18 12:58,2022/2/18 13:20,Resolve SW anomaly,res4-000001,1
27,2022/2/18 13:20,2022/2/18 14:11,Require upgrade,res5-000001,1
27,2022/2/18 14:11,2022/2/18 15:39,Take in charge ticket,res6-000001,1
27,2022/2/18 15:39,2022/2/18 16:57,Resolve ticket,res9-000001,1
27,2022/2/18 16:57,2022/2/21 9:12,Closed,res10-000001,1
28,2022/2/21 17:48,2022/2/21 17:51,Insert ticket,res1-000001,1
28,2022/2/21 17:51,2022/2/22 9:18,Assign seriousness,res2-000001,1
28,2022/2/22 9:18,2022/2/22 10:25,Create SW anomaly,res3-000001,1
28,2022/2/22 10:25,2022/2/22 10:53,Require upgrade,res5-000001,1
28,2022/2/22 10:53,2022/2/22 11:08,Take in charge ticket,res6-000001,1
28,2022/2/22 11:08,2022/2/22 12:51,Resolve ticket,res9-000001,1
28,2022/2/22 12:51,2022/2/22 15:33,Closed,res10-000001,1
29,2022/2/23 8:00,2022/2/23 10:29,Insert ticket,res1-000001,1
29,2022/2/23 10:29,2022/2/23 10:55,Assign seriousness,res2-000001,1
29,2022/2/23 10:55,2022/2/23 12:35,Create SW anomaly,res3-000001,1
29,2022/2/23 12:35,2022/2/23 12:49,Resolve SW anomaly,res4-000001,1
29,2022/2/23 12:49,2022/2/23 14:27,Require upgrade,res5-000001,1
29,2022/2/23 14:27,2022/2/23 16:41,Take in charge ticket,res6-000001,1
29,2022/2/23 16:41,2022/2/23 17:20,Resolve ticket,res9-000001,1
29,2022/2/23 17:20,2022/2/24 9:01,Closed,res10-000001,1
30,2022/2/24 8:00,2022/2/24 9:49,Insert ticket,res1-000001,1
30,2022/2/24 9:49,2022/2/24 11:38,Assign seriousness,res2-000001,1
30,2022/2/24 11:38,2022/2/24 13:17,Create SW anomaly,res3-000001,1
30,2022/2/24 13:17,2022/2/24 16:48,Resolve SW anomaly,res4-000001,1
30,2022/2/24 16:48,2022/2/25 10:23,Require upgrade,res5-000001,1
30,2022/2/25 10:23,2022/2/25 13:32,Take in charge ticket,res6-000001,1
30,2022/2/25 13:32,2022/2/25 14:03,Resolve ticket,res9-000001,1
30,2022/2/25 14:03,2022/2/25 17:25,Closed,res10-000001,1
31,2022/2/25 8:00,2022/2/25 8:29,Insert ticket,res1-000001,1
31,2022/2/25 8:29,2022/2/25 11:59,Assign seriousness,res2-000001,1
31,2022/2/25 11:59,2022/2/25 14:38,Create SW anomaly,res3-000001,1
31,2022/2/25 14:38,2022/2/25 17:10,Resolve SW anomaly,res4-000001,1
31,2022/2/25 17:10,2022/2/25 17:21,Require upgrade,res5-000001,1
31,2022/2/25 17:21,2022/2/28 8:50,Take in charge ticket,res6-000001,1
31,2022/2/28 8:50,2022/2/28 9:56,Resolve ticket,res9-000001,1
31,2022/2/28 9:56,2022/2/28 11:50,Closed,res10-000001,1
32,2022/2/28 17:54,2022/3/1 10:00,Insert ticket,res1-000001,1
32,2022/3/1 10:00,2022/3/1 12:57,Assign seriousness,res2-000001,1
32,2022/3/1 12:57,2022/3/1 15:20,Create SW anomaly,res3-000001,1
32,2022/3/1 15:20,2022/3/1 17:08,Resolve SW anomaly,res4-000001,1
32,2022/3/1 17:08,2022/3/1 17:37,Require upgrade,res5-000001,1
32,2022/3/1 17:37,2022/3/2 10:25,Take in charge ticket,res6-000001,1
32,2022/3/2 10:25,2022/3/2 12:59,Resolve ticket,res9-000001,1
32,2022/3/2 12:59,2022/3/2 13:57,Closed,res10-000001,1
33,2022/3/2 8:00,2022/3/2 8:42,Insert ticket,res1-000001,1
33,2022/3/2 8:42,2022/3/2 10:54,Assign seriousness,res2-000001,1
33,2022/3/2 10:54,2022/3/2 12:48,Require upgrade,res5-000001,1
33,2022/3/2 12:48,2022/3/2 15:53,Take in charge ticket,res6-000001,1
33,2022/3/2 15:53,2022/3/2 16:43,Resolve ticket,res9-000001,1
33,2022/3/2 16:43,2022/3/3 8:51,Closed,res10-000001,1
34,2022/3/3 8:00,2022/3/3 8:31,Insert ticket,res1-000001,1
34,2022/3/3 8:31,2022/3/3 11:44,Assign seriousness,res2-000001,1
34,2022/3/3 11:44,2022/3/3 13:25,Create SW anomaly,res3-000001,1
34,2022/3/3 13:25,2022/3/3 15:27,Resolve SW anomaly,res4-000001,1
34,2022/3/3 15:27,2022/3/3 16:24,Require upgrade,res5-000001,1
34,2022/3/3 16:24,2022/3/4 8:53,Take in charge ticket,res6-000001,1
34,2022/3/4 8:53,2022/3/4 10:42,Resolve ticket,res9-000001,1
34,2022/3/4 10:42,2022/3/4 12:22,Closed,res10-000001,1
35,2022/3/4 8:00,2022/3/4 10:54,Insert ticket,res1-000001,1
35,2022/3/4 10:54,2022/3/4 12:48,Assign seriousness,res2-000001,1
35,2022/3/4 12:48,2022/3/4 14:33,Create SW anomaly,res3-000001,1
35,2022/3/4 14:33,2022/3/4 17:09,Resolve SW anomaly,res4-000001,1
35,2022/3/4 17:09,2022/3/7 8:36,Require upgrade,res5-000001,1
35,2022/3/7 8:36,2022/3/7 10:42,Take in charge ticket,res6-000001,1
35,2022/3/7 10:42,2022/3/7 13:22,Resolve ticket,res9-000001,1
35,2022/3/7 13:22,2022/3/7 15:34,Closed,res10-000001,1
36,2022/3/8 8:00,2022/3/8 10:39,Insert ticket,res1-000001,1
36,2022/3/8 10:39,2022/3/8 11:53,Assign seriousness,res2-000001,1
36,2022/3/8 11:53,2022/3/8 13:11,Create SW anomaly,res3-000001,1
36,2022/3/8 13:11,2022/3/8 14:58,Resolve SW anomaly,res4-000001,1
36,2022/3/8 14:58,2022/3/8 16:35,Require upgrade,res5-000001,1
36,2022/3/8 16:35,2022/3/9 8:22,Take in charge ticket,res6-000001,1
36,2022/3/9 8:22,2022/3/9 9:20,Resolve ticket,res9-000001,1
36,2022/3/9 9:20,2022/3/9 10:51,Closed,res10-000001,1
37,2022/3/9 8:00,2022/3/9 8:49,Insert ticket,res1-000001,1
37,2022/3/9 8:49,2022/3/9 11:08,Assign seriousness,res2-000001,1
37,2022/3/9 11:08,2022/3/9 14:32,Create SW anomaly,res3-000001,1
37,2022/3/9 14:32,2022/3/9 16:19,Resolve SW anomaly,res4-000001,1
37,2022/3/9 16:19,2022/3/9 17:22,Require upgrade,res5-000001,1
37,2022/3/9 17:22,2022/3/10 8:31,Take in charge ticket,res6-000001,1
37,2022/3/10 8:31,2022/3/10 10:46,Resolve ticket,res9-000001,1
37,2022/3/10 10:46,2022/3/10 11:51,Closed,res10-000001,1
38,2022/3/10 8:00,2022/3/10 8:06,Insert ticket,res1-000001,1
38,2022/3/10 8:06,2022/3/10 11:12,Assign seriousness,res2-000001,1
38,2022/3/10 11:12,2022/3/10 12:43,Create SW anomaly,res3-000001,1
38,2022/3/10 12:43,2022/3/10 15:12,Resolve SW anomaly,res4-000001,1
38,2022/3/10 15:12,2022/3/10 17:33,Require upgrade,res5-000001,1
38,2022/3/10 17:33,2022/3/11 8:48,Take in charge ticket,res6-000001,1
38,2022/3/11 8:48,2022/3/11 10:57,Resolve ticket,res9-000001,1
38,2022/3/11 10:57,2022/3/11 12:43,Closed,res10-000001,1
39,2022/3/11 8:00,2022/3/11 8:56,Insert ticket,res1-000001,1
39,2022/3/11 8:56,2022/3/11 11:27,Assign seriousness,res2-000001,1
39,2022/3/11 11:27,2022/3/11 12:24,Create SW anomaly,res3-000001,1
39,2022/3/11 12:24,2022/3/11 13:42,Resolve SW anomaly,res4-000001,1
39,2022/3/11 13:42,2022/3/11 16:17,Require upgrade,res5-000001,1
39,2022/3/11 16:17,2022/3/11 16:39,Take in charge ticket,res6-000001,1
39,2022/3/11 16:39,2022/3/14 8:38,Resolve ticket,res9-000001,1
39,2022/3/14 8:38,2022/3/14 10:34,Closed,res10-000001,1
40,2022/3/15 8:00,2022/3/15 9:55,Insert ticket,res1-000001,1
40,2022/3/15 9:55,2022/3/15 13:09,Assign seriousness,res2-000001,1
40,2022/3/15 13:09,2022/3/15 13:29,Create SW anomaly,res3-000001,1
40,2022/3/15 13:29,2022/3/15 14:42,Resolve SW anomaly,res4-000001,1
40,2022/3/15 14:42,2022/3/15 16:03,Require upgrade,res5-000001,1
40,2022/3/15 16:03,2022/3/16 8:31,Take in charge ticket,res6-000001,1
40,2022/3/16 8:31,2022/3/16 10:57,Resolve ticket,res9-000001,1
40,2022/3/16 10:57,2022/3/16 14:28,Closed,res10-000001,1
41,2022/3/16 8:00,2022/3/16 9:53,Insert ticket,res1-000001,1
41,2022/3/16 9:53,2022/3/16 12:30,Assign seriousness,res2-000001,1
41,2022/3/16 12:30,2022/3/16 13:17,Create SW anomaly,res3-000001,1
41,2022/3/16 13:17,2022/3/16 15:59,Resolve SW anomaly,res4-000001,1
41,2022/3/16 15:59,2022/3/16 16:58,Require upgrade,res5-000001,1
41,2022/3/16 16:58,2022/3/17 8:34,Take in charge ticket,res6-000001,1
41,2022/3/17 8:34,2022/3/17 10:05,Resolve ticket,res9-000001,1
41,2022/3/17 10:05,2022/3/17 13:23,Closed,res10-000001,1
42,2022/3/17 8:00,2022/3/17 10:07,Insert ticket,res1-000001,1
42,2022/3/17 10:07,2022/3/17 12:15,Assign seriousness,res2-000001,1
42,2022/3/17 12:15,2022/3/17 14:46,Create SW anomaly,res3-000001,1
42,2022/3/17 14:46,2022/3/17 15:44,Resolve SW anomaly,res4-000001,1
42,2022/3/17 15:44,2022/3/17 17:14,Require upgrade,res5-000001,1
42,2022/3/17 17:14,2022/3/17 17:18,Take in charge ticket,res6-000001,1
42,2022/3/17 17:18,2022/3/18 8:38,Resolve ticket,res9-000001,1
42,2022/3/18 8:38,2022/3/18 10:16,Closed,res10-000001,1
43,2022/3/18 8:00,2022/3/18 10:59,Insert ticket,res1-000001,1
43,2022/3/18 10:59,2022/3/18 12:46,Assign seriousness,res2-000001,1
43,2022/3/18 12:46,2022/3/18 14:45,Take in charge ticket,res6-000001,1
43,2022/3/18 14:45,2022/3/18 15:41,Resolve ticket,res9-000001,1
43,2022/3/18 15:41,2022/3/21 8:26,Closed,res10-000001,1
44,2022/3/22 8:00,2022/3/22 8:57,Insert ticket,res1-000001,1
44,2022/3/22 8:57,2022/3/22 10:26,Assign seriousness,res2-000001,1
44,2022/3/22 10:26,2022/3/22 10:52,Create SW anomaly,res3-000001,1
44,2022/3/22 10:52,2022/3/22 13:38,Resolve SW anomaly,res4-000001,1
44,2022/3/22 13:38,2022/3/22 14:03,Require upgrade,res5-000001,1
44,2022/3/22 14:03,2022/3/22 14:48,Take in charge ticket,res6-000001,1
44,2022/3/22 14:48,2022/3/23 8:45,Resolve ticket,res9-000001,1
44,2022/3/23 8:45,2022/3/23 10:56,Closed,res10-000001,1
45,2022/3/23 8:00,2022/3/23 11:10,Assign seriousness,res2-000001,1
45,2022/3/23 11:10,2022/3/23 13:25,Create SW anomaly,res3-000001,1
45,2022/3/23 13:25,2022/3/23 15:10,Resolve SW anomaly,res4-000001,1
45,2022/3/23 15:10,2022/3/23 15:23,Require upgrade,res5-000001,1
45,2022/3/23 15:23,2022/3/23 16:51,Take in charge ticket,res6-000001,1
45,2022/3/23 16:51,2022/3/24 8:42,Resolve ticket,res9-000001,1
45,2022/3/24 8:42,2022/3/24 11:18,Closed,res10-000001,1
46,2022/3/24 8:00,2022/3/24 11:27,Insert ticket,res1-000001,1
